entry_id	Gene_name	SGD_gene_ID	Pubmed_ID	SGD_Reference	allele	description
Yeast_YDL105W_nse4-ts	YDL105W	S000002263	PMID: 18439903	SGD_REF: S000126287	nse4-ts	colony sectoring: increased
Yeast_YDL108W_kin28-ts3	YDL108W	S000002266	PMID: 19324962	SGD_REF: S000129739	kin28-ts3	resistance to chemicals: decreased
Yeast_YDL111C_rrp42-ts	YDL111C	S000002269	PMID: 18439903	SGD_REF: S000126287	rrp42-ts	heat sensitivity: increased
Yeast_YDL126C_cdc48-ts(T413R)	YDL126C	S000002284	PMID: 20206597	SGD_REF: S000133435	cdc48-ts (T413R)	protein/peptide accumulation: increased
Yeast_YDL132W_cdc53-1(tsallele)	YDL132W	S000002290	PMID: 23390603	SGD_REF: S000151997	cdc53-1 (ts allele)	resistance to chemicals: decreased
Yeast_YDL141W_bpl1-ts	YDL141W	S000002300	PMID: 18439903	SGD_REF: S000126287	bpl1-ts	heat sensitivity: increased
Yeast_YDL141W_bpl1-ts	YDL141W	S000002300	PMID: 21552543	SGD_REF: S000145356	bpl1-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDL143W_cct4-1(tsallele)	YDL143W	S000002302	PMID: 23390603	SGD_REF: S000151997	cct4-1 (ts allele)	resistance to chemicals: decreased
Yeast_YDL147W_rpn5-ts	YDL147W	S000002306	PMID: 18439903	SGD_REF: S000126287	rpn5-ts	heat sensitivity: increased
Yeast_YDL147W_rpn5-ts(C-terminaltruncation(insertionandprematurestop))	YDL147W	S000002306	PMID: 20174551	SGD_REF: S000133286	rpn5-ts (C-terminal truncation (insertion and premature stop))	colony sectoring: increased
Yeast_YDL147W_rpn5-ts(C-terminaltruncation(insertionandprematurestop))	YDL147W	S000002306	PMID: 20174551	SGD_REF: S000133286	rpn5-ts (C-terminal truncation (insertion and premature stop))	resistance to chemicals: decreased
Yeast_YDL147W_rpn5-ts(C-terminaltruncation(insertionandprematurestop))	YDL147W	S000002306	PMID: 20174551	SGD_REF: S000133286	rpn5-ts (C-terminal truncation (insertion and premature stop))	resistance to chemicals: decreased
Yeast_YDL165W_cdc36-16(tsallele)	YDL165W	S000002324	PMID: 23390603	SGD_REF: S000151997	cdc36-16 (ts allele)	resistance to chemicals: decreased
Yeast_YDL193W_nus1-ts	YDL193W	S000002352	PMID: 18439903	SGD_REF: S000126287	nus1-ts	heat sensitivity: increased
Yeast_YDL208W_nhp2-ts	YDL208W	S000002367	PMID: 18439903	SGD_REF: S000126287	nhp2-ts	heat sensitivity: increased
Yeast_YDL209C_cwc2-ts	YDL209C	S000002368	PMID: 20174551	SGD_REF: S000133286	cwc2-ts	colony sectoring: increased
Yeast_YDL209C_cwc2-ts	YDL209C	S000002368	PMID: 18439903	SGD_REF: S000126287	cwc2-ts	viability: decreased
Yeast_YDL209C_cwc2-ts	YDL209C	S000002368	PMID: 18439903	SGD_REF: S000126287	cwc2-ts	heat sensitivity: increased
Yeast_YDR013W_psf1-ts/psf1-ts	YDR013W	S000002420	PMID: 18439903	SGD_REF: S000126287	psf1-ts/psf1-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR013W_psf1-ts	YDR013W	S000002420	PMID: 18439903	SGD_REF: S000126287	psf1-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR013W_psf1-ts	YDR013W	S000002420	PMID: 18439903	SGD_REF: S000126287	psf1-ts	colony sectoring: increased
Yeast_YDR013W_psf1-ts	YDR013W	S000002420	PMID: 18439903	SGD_REF: S000126287	psf1-ts	heat sensitivity: increased
Yeast_YDR016C_dad1-ts	YDR016C	S000002423	PMID: 18439903	SGD_REF: S000126287	dad1-ts	heat sensitivity: increased
Yeast_YDR044W_hem13-ts	YDR044W	S000002451	PMID: 18439903	SGD_REF: S000126287	hem13-ts	vegetative growth: decreased
Yeast_YDR045C_rpc11-ts	YDR045C	S000002452	PMID: 18439903	SGD_REF: S000126287	rpc11-ts	heat sensitivity: increased
Yeast_YDR052C_dbf4-ts	YDR052C	S000002459	PMID: 21552543	SGD_REF: S000145356	dbf4-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR062W_lcb2-2(tsallele)	YDR062W	S000002469	PMID: 23390603	SGD_REF: S000151997	lcb2-2 (ts allele)	resistance to chemicals: decreased
Yeast_YDR062W_lcb2-19(tsallele)	YDR062W	S000002469	PMID: 23390603	SGD_REF: S000151997	lcb2-19 (ts allele)	resistance to chemicals: decreased
Yeast_YDR064W_rps13-ts	YDR064W	S000002471	PMID: 18439903	SGD_REF: S000126287	rps13-ts	heat sensitivity: increased
Yeast_YDR086C_sss1-ts	YDR086C	S000002493	PMID: 18439903	SGD_REF: S000126287	sss1-ts	heat sensitivity: increased
Yeast_YDR091C_rli1-ts	YDR091C	S000002498	PMID: 20174551	SGD_REF: S000133286	rli1-ts	colony sectoring: increased
Yeast_YDR091C_rli1-ts	YDR091C	S000002498	PMID: 18439903	SGD_REF: S000126287	rli1-ts	heat sensitivity: increased
Yeast_YDR118W_apc4-ts	YDR118W	S000002525	PMID: 20174551	SGD_REF: S000133286	apc4-ts	colony sectoring: increased
Yeast_YDR118W_apc4-ts	YDR118W	S000002525	PMID: 18439903	SGD_REF: S000126287	apc4-ts	heat sensitivity: increased
Yeast_YDR118W_apc4-ts	YDR118W	S000002525	PMID: 18439903	SGD_REF: S000126287	apc4-ts	viability: decreased
Yeast_YDR145W_taf12-W486stop(tsallele)	YDR145W	S000002552	PMID: 23390603	SGD_REF: S000151997	taf12-W486stop (ts allele)	resistance to chemicals: decreased
Yeast_YDR145W_taf12-W486stop(tsallele)	YDR145W	S000002552	PMID: 24336748	SGD_REF: S000156475	taf12-W486stop (ts allele)	mutation frequency: increased
Yeast_YDR168W_cdc37-1(tsallele)	YDR168W	S000002575	PMID: 23390603	SGD_REF: S000151997	cdc37-1 (ts allele)	resistance to chemicals: decreased
Yeast_YDR168W_cdc37-ts(tsallele)	YDR168W	S000002575	PMID: 23390603	SGD_REF: S000151997	cdc37-ts (ts allele)	resistance to chemicals: decreased
Yeast_YDR168W_cdc37-ts	YDR168W	S000002575	PMID: 21552543	SGD_REF: S000145356	cdc37-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR188W_cct6-18(tsallele)	YDR188W	S000002596	PMID: 23390603	SGD_REF: S000151997	cct6-18 (ts allele)	resistance to chemicals: decreased
Yeast_YDR189W_sly1-ts	YDR189W	S000002597	PMID: 21552543	SGD_REF: S000145356	sly1-ts	colony sectoring: increased
Yeast_YDR196C_cab5-ts	YDR196C	S000002604	PMID: 18439903	SGD_REF: S000126287	cab5-ts	heat sensitivity: increased
Yeast_YDR196C_cab5-ts	YDR196C	S000002604	PMID: 18439903	SGD_REF: S000126287	cab5-ts	RNA accumulation: decreased
Yeast_YDR201W_spc19-ts	YDR201W	S000002609	PMID: 20174551	SGD_REF: S000133286	spc19-ts	colony sectoring: increased
Yeast_YDR201W_spc19-ts	YDR201W	S000002609	PMID: 18439903	SGD_REF: S000126287	spc19-ts	heat sensitivity: increased
Yeast_YDR212W_tcp1-2(tsallele)	YDR212W	S000002620	PMID: 23390603	SGD_REF: S000151997	tcp1-2 (ts allele)	resistance to chemicals: decreased
Yeast_YDR212W_tcp1-1(tsallele)	YDR212W	S000002620	PMID: 23390603	SGD_REF: S000151997	tcp1-1 (ts allele)	resistance to chemicals: decreased
Yeast_YDR228C_pcf11-ts10	YDR228C	S000002636	PMID: 21552543	SGD_REF: S000145356	pcf11-ts10	colony sectoring: increased
Yeast_YDR235W_prp42-ts	YDR235W	S000002643	PMID: 18439903	SGD_REF: S000126287	prp42-ts	heat sensitivity: increased
Yeast_YDR246W_trs23-ts	YDR246W	S000002654	PMID: 18439903	SGD_REF: S000126287	trs23-ts	heat sensitivity: increased
Yeast_YDR246W_trs23-ts	YDR246W	S000002654	PMID: 18439903	SGD_REF: S000126287	trs23-ts	colony sectoring: increased
Yeast_YDR246W_trs23-ts	YDR246W	S000002654	PMID: 18439903	SGD_REF: S000126287	trs23-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR246W_trs23-ts	YDR246W	S000002654	PMID: 18439903	SGD_REF: S000126287	trs23-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR267C_cia1-ts	YDR267C	S000002675	PMID: 18439903	SGD_REF: S000126287	cia1-ts	heat sensitivity: increased
Yeast_YDR280W_rrp45-ts	YDR280W	S000002688	PMID: 18439903	SGD_REF: S000126287	rrp45-ts	heat sensitivity: increased
Yeast_YDR288W_nse3-ts	YDR288W	S000002696	PMID: 18439903	SGD_REF: S000126287	nse3-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR288W_nse3-ts	YDR288W	S000002696	PMID: 18439903	SGD_REF: S000126287	nse3-ts	heat sensitivity: increased
Yeast_YDR288W_nse3-ts/nse3-ts	YDR288W	S000002696	PMID: 18439903	SGD_REF: S000126287	nse3-ts/nse3-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR288W_nse3-ts	YDR288W	S000002696	PMID: 18439903	SGD_REF: S000126287	nse3-ts	colony sectoring: increased
Yeast_YDR299W_bfr2-ts	YDR299W	S000002707	PMID: 18439903	SGD_REF: S000126287	bfr2-ts	heat sensitivity: increased
Yeast_YDR302W_gpi11-ts	YDR302W	S000002710	PMID: 18439903	SGD_REF: S000126287	gpi11-ts	heat sensitivity: increased
Yeast_YDR339C_fcf1-ts	YDR339C	S000002747	PMID: 18439903	SGD_REF: S000126287	fcf1-ts	heat sensitivity: increased
Yeast_YDR339C_fcf1-ts	YDR339C	S000002747	PMID: 18439903	SGD_REF: S000126287	fcf1-ts	RNA accumulation: decreased
Yeast_YDR341C_ydr341c-ts	YDR341C	S000002749	PMID: 18439903	SGD_REF: S000126287	ydr341c-ts	heat sensitivity: increased
Yeast_YDR361C_bcp1-ts	YDR361C	S000002769	PMID: 12912920	SGD_REF: S000074127	bcp1-ts	nuclear export: decreased
Yeast_YDR364C_cdc40-ts	YDR364C	S000002772	PMID: 25721128	SGD_REF: S000179429	cdc40-ts	protein/peptide accumulation: decreased
Yeast_YDR367W_kei1-ts	YDR367W	S000002775	PMID: 18439903	SGD_REF: S000126287	kei1-ts	heat sensitivity: increased
Yeast_YDR390C_uba2-ts9	YDR390C	S000002798	PMID: 20351217	SGD_REF: S000133590	uba2-ts9	protein/peptide accumulation: increased
Yeast_YDR398W_utp5-ts	YDR398W	S000002806	PMID: 20174551	SGD_REF: S000133286	utp5-ts	colony sectoring: increased
Yeast_YDR398W_utp5-ts	YDR398W	S000002806	PMID: 18439903	SGD_REF: S000126287	utp5-ts	heat sensitivity: increased
Yeast_YDR404C_rpb7-ts	YDR404C	S000002812	PMID: 21552543	SGD_REF: S000145356	rpb7-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR416W_syf1-ts	YDR416W	S000002824	PMID: 21552543	SGD_REF: S000145356	syf1-ts	colony sectoring: increased
Yeast_YDR434W_gpi17-ts	YDR434W	S000002842	PMID: 18439903	SGD_REF: S000126287	gpi17-ts	heat sensitivity: increased
Yeast_YDR434W_gpi17-ts	YDR434W	S000002842	PMID: 20174551	SGD_REF: S000133286	gpi17-ts	colony sectoring: increased
Yeast_YDR437W_gpi19-ts	YDR437W	S000002845	PMID: 18439903	SGD_REF: S000126287	gpi19-ts	heat sensitivity: increased
Yeast_YDR449C_utp6-ts	YDR449C	S000002857	PMID: 21552543	SGD_REF: S000145356	utp6-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR454C_guk1-ts	YDR454C	S000002862	PMID: 18439903	SGD_REF: S000126287	guk1-ts	heat sensitivity: increased
Yeast_YDR460W_tfb3-ts	YDR460W	S000002868	PMID: 10681587	SGD_REF: S000064782	tfb3-ts	heat sensitivity: increased
Yeast_YDR460W_tfb3-ts	YDR460W	S000002868	PMID: 10681587	SGD_REF: S000064782	tfb3-ts	UV resistance: decreased
Yeast_YDR460W_tfb3-ts	YDR460W	S000002868	PMID: 21552543	SGD_REF: S000145356	tfb3-ts	colony sectoring: increased
Yeast_YDR460W_tfb3-ts	YDR460W	S000002868	PMID: 10681587	SGD_REF: S000064782	tfb3-ts	resistance to chemicals: decreased
Yeast_YDR472W_trs31-ts	YDR472W	S000002880	PMID: 18439903	SGD_REF: S000126287	trs31-ts	heat sensitivity: increased
Yeast_YDR478W_snm1-ts	YDR478W	S000002886	PMID: 18439903	SGD_REF: S000126287	snm1-ts	heat sensitivity: increased
Yeast_YDR487C_rib3-ts	YDR487C	S000002895	PMID: 21552543	SGD_REF: S000145356	rib3-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR487C_rib3-ts	YDR487C	S000002895	PMID: 21552543	SGD_REF: S000145356	rib3-ts	colony sectoring: increased
Yeast_YDR487C_rib3-ts	YDR487C	S000002895	PMID: 18439903	SGD_REF: S000126287	rib3-ts	heat sensitivity: increased
Yeast_YDR489W_sld5-ts	YDR489W	S000002897	PMID: 21552543	SGD_REF: S000145356	sld5-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDR489W_sld5-ts	YDR489W	S000002897	PMID: 18439903	SGD_REF: S000126287	sld5-ts	colony sectoring: increased
